Name,h1,h2,N1,N2,vocabulary,length,volume,difficulty,effort,time,bugs,MI,CC,CCL,CCO,CEE,CI,LDC,LLDC,CLLC,CLC,NCR,CR,CEG,TLLOC,TLOC,TNCL,TNFI,TNM,TNOS,TNPKG,TCLOC,TNDI,WarningBlocker,WarningCritical,WarningMajor,WarningMinor,WarningInfo
metatransformer,4.740701381509033,29.06163655685441,24.090329436769395,44.0403825717322,33.80233793836344,68.13071200850159,455.63708211386887,3.516830313351818,4811.326035234375,267.2958908463544,0.15187902737128955,76.47589351516353,4.020176772823192,239,2425,5190.9443359375,574,17423,14487,0.14812277257442474,0.14528732001781464,0.18711452186107635,0.4072684347629547,4.757179260253906,97804,119921,932,940,4319,48958,300,18818,303,0,3076,2723,12464,0
Mindsdb,2.016318537859008,9.934073107049608,6.438642297650131,12.469321148825065,11.950391644908617,18.907963446475197,104.37002496871322,1.2517134082191812,592.2387329295309,32.90215182941841,0.034790008322904506,82.21430024798514,3.6787329587256417,222,2139,60578.28125,828,12582,8121,0.076109878718853,0.09453681856393814,0.21757976710796356,0.8517996072769165,7.720019340515137,106701,133091,1172,1526,5712,41621,507,18892,510,0,2356,1707,6882,0
MLflow,2.117079058539529,16.989136994568497,10.7954133977067,20.68316234158117,19.106216053108028,31.47857573928787,211.11144118677578,1.251686299626992,1384.016608138538,76.88981156325214,0.07037048039559206,79.59739738976278,2.613584790669583,363,1341,5218.6015625,1072,16189,13254,0.067737877368927,0.06744545698165894,0.07920381426811218,0.0857388898730278,1.0015908479690552,195666,240031,854,1656,10787,71754,707,33286,710,0,9717,8123,5536,0
Mycroft,2.4183673469387754,13.374149659863946,8.982993197278912,16.843537414965986,15.79251700680272,25.8265306122449,166.32267387359616,1.4166882581431604,1531.100371358553,85.06113174214187,0.055440891291198814,82.90886514857715,2.7431688237209535,3,8,3.625,6,138,88,0.00338175380602479,0.004009297117590904,0.0625,0.0008838674984872341,0.06863100826740265,26022,34420,285,293,2115,12480,121,9330,124,0,618,610,934,0
Neural Prophet,4.438202247191011,36.73033707865169,27.775280898876403,52.46067415730337,41.168539325842694,80.23595505617978,586.6776309175153,3.031384082454526,6584.384880699003,365.7991600388335,0.19555921030583842,77.24046054537395,4.4563913885412605,23,115,515.1333618164062,53,1242,1116,0.06038634106516838,0.0588793009519577,0.14420290291309357,0.06709593534469604,1.0744519233703613,18481,21094,46,89,481,7051,35,6464,38,0,131,308,1780,0
NNI,3.984873949579832,20.816806722689076,14.650420168067226,27.68487394957983,24.80168067226891,42.33529411764706,261.22695036189816,2.650006163638449,2118.1885454251433,117.6771414125083,0.08707565012063263,76.19124675533962,2.9560389561693814,134,1203,2207.017578125,308,11447,9407,0.08858315646648407,0.08270774781703949,0.2530636191368103,0.2932681441307068,3.8071341514587402,106194,138403,1452,1172,7031,51219,416,30317,419,0,4211,3302,11551,0
Numpy,4.967189728958631,60.34522111269615,50.827389443651924,91.24679029957204,65.31241084165478,142.07417974322397,1144.1895183906254,3.891111983834781,16757.236309803782,930.957572766877,0.381396506130208,66.92563666912837,2.6442847000581353,101,715,2344.466796875,268,8105,4421,0.021764280274510384,0.03278337046504021,0.09460946917533875,0.0388721264898777,0.5009373426437378,203131,247229,1754,682,10938,81220,186,74709,189,0,27727,6156,18494,0
ONNX,0.5071449402158064,2.909886264216973,2.3400408282298044,4.194808982210557,3.4170312044327793,6.534849810440361,41.846748550029865,0.36135887157102276,406.8941374131443,22.605229856285767,0.013948916183343313,96.87942669660332,2.556524754595784,166,608,949.7000122070312,404,10583,9646,0.1307435780763626,0.11722029745578766,0.10583764314651489,0.13267435133457184,1.9348739385604858,73778,90283,613,3429,3077,23266,2932,7737,2935,0,3424,282,5929,0
Open-Assistant,1.9849624060150375,9.209022556390977,6.619548872180451,12.475187969924812,11.193984962406015,19.094736842105263,113.70125770854733,1.3068994342833988,953.981226332333,52.99895701846286,0.03790041923618251,85.39859006208107,2.907494824535195,20,127,53.375,52,1214,980,0.03169264644384384,0.030801238492131233,0.15625,0.07556512951850891,1.8996614217758179,30922,39414,338,649,1501,10925,337,3977,340,0,519,444,3264,0
OpenAI Baselines,5.378205128205129,26.166666666666668,18.525641025641026,35.15384615384615,31.544871794871796,53.67948717948718,327.94942974241286,3.5322356924520286,2637.2310875474113,146.51283819707834,0.10931647658080426,68.5649940069629,2.7481614821070055,1,16,88.0,2,82,76,0.005738014355301857,0.004906653892248869,0.5,0.049528125673532486,1.1061509847640991,13245,16712,127,156,1002,7825,25,2933,28,0,625,264,2142,0
